code,interlevel,location,original
012805022,Bgy,Acosta Pob. (Iloilo),True
012805022,Bgy,Iloilo,True
012805022,Bgy,Acosta Pob.,True
012805023,Bgy,Ablan Pob. (Labucao),True
012805023,Bgy,Labucao,True
012805023,Bgy,Ablan Pob.,True
012805024,Bgy,Lacub (Pob.),False
012805024,Bgy,Lacub,True
012805025,Bgy,Mabaleng,True
012805026,Bgy,Magnuang,True
012805027,Bgy,Maipalig,True
012805028,Bgy,Nagbacalan,True
012805029,Bgy,Naguirangan,True
012805030,Bgy,Ricarte Pob. (Nalasin),True
012805030,Bgy,Nalasin,True
012805030,Bgy,Ricarte Pob.,True
012805031,Bgy,Palongpong,True
012805032,Bgy,Palpalicong,True
012805032,Bgy,Palpalicong (Pob.),False
012805033,Bgy,Parangopong,True
012805034,Bgy,Payao,True
012805035,Bgy,Quiling Norte,True
012805036,Bgy,Quiling Sur,True
012805037,Bgy,Quiom,True
012805038,Bgy,Rayuray,True
012805039,Bgy,San Julian,True
012805039,Bgy,San Julian (Pob.),False
012805040,Bgy,San Mateo,True
012805041,Bgy,San Pedro,True
012805042,Bgy,Suabit,True
012805042,Bgy,Suabit (Pob.),False
012805043,Bgy,Sumader,True
012805044,Bgy,Tabug,True
012806000,Mun,BURGOS,True
012806001,Bgy,Ablan Sarat,True
012806002,Bgy,Agaga,True
012806005,Bgy,Bayog,True
012806006,Bgy,Bobon,True
012806007,Bgy,Buduan,True
012806007,Bgy,Malituek,True
012806007,Bgy,Buduan (Malituek),True
012806008,Bgy,Nagsurot,True
012806009,Bgy,Paayas,True
012806010,Bgy,Pagali,True
012806011,Bgy,Poblacion,True
012806013,Bgy,Saoit,True
012806014,Bgy,Tanap,True
012807000,Mun,CARASI,True
012807001,Bgy,Angset,True
012807003,Bgy,Barbaqueso (Pob.),False
012807003,Bgy,Barbaqueso,True
012807004,Bgy,Virbira,True
012808000,Mun,CURRIMAO,True
012808001,Bgy,Anggapang Norte,True
012808002,Bgy,Anggapang Sur,True
012808003,Bgy,Bimmanga,True
012808004,Bgy,Cabuusan,True
012808005,Bgy,Comcomloong,True
012808006,Bgy,Gaang,True
012808007,Bgy,Lang-ayan-Baramban,True
012808008,Bgy,Lioes,True
012808009,Bgy,Maglaoi Centro,True
012808010,Bgy,Maglaoi Norte,True
012808011,Bgy,Maglaoi Sur,True
012808013,Bgy,Paguludan-Salindeg,True
012808014,Bgy,Pangil,True
012808015,Bgy,Pias Norte,True
012808016,Bgy,Pias Sur,True
012808017,Bgy,Poblacion I,True
012808017,Bgy,Poblacion 1,False
012808018,Bgy,Poblacion II,True
012808018,Bgy,Poblacion 2,False
012808019,Bgy,Salugan,True
012808020,Bgy,San Simeon,True
012808021,Bgy,Santa Cruz,True
012808022,Bgy,Tapao-Tigue,True
012808023,Bgy,Torre,True
012808024,Bgy,Victoria,True
012809000,Mun,DINGRAS,True
012809001,Bgy,Albano (Pob.),False
012809001,Bgy,Albano,True
012809002,Bgy,Bacsil,True
012809003,Bgy,Bagut,True
012809004,Bgy,Parado,True
012809004,Bgy,Bangay,True
012809004,Bgy,Parado (Bangay),True
012809005,Bgy,Baresbes,True
012809006,Bgy,Barong,True
012809007,Bgy,Bungcag,True
012809009,Bgy,Cali,True
012809010,Bgy,Capasan,True
012809011,Bgy,Dancel (Pob.),False
012809011,Bgy,Dancel,True
012809012,Bgy,Foz,True
012809013,Bgy,Guerrero (Pob.),False
012809013,Bgy,Guerrero,True
012809014,Bgy,Lanas,True
012809015,Bgy,Lumbad,True
012809016,Bgy,Madamba,True
012809016,Bgy,Madamba (Pob.),False
012809017,Bgy,Mandaloque,True
012809018,Bgy,Medina,True
012809019,Bgy,Naglayaan,True
012809019,Bgy,Ver,True
012809019,Bgy,Ver (Naglayaan),True
012809020,Bgy,San Marcelino,True
012809020,Bgy,Padong,True
012809020,Bgy,San Marcelino (Padong),True
012809021,Bgy,Puruganan (Pob.),False
012809021,Bgy,Puruganan,True
012809022,Bgy,Peralta (Pob.),False
012809022,Bgy,Peralta,True
012809023,Bgy,Root,True
012809023,Bgy,Baldias,True
012809023,Bgy,Root (Baldias),True
012809024,Bgy,Sagpatan,True
012809025,Bgy,Saludares,True
012809026,Bgy,San Esteban,True
012809027,Bgy,Espiritu,True
012809028,Bgy,Sulquiano,True
012809028,Bgy,Sidiran,True
012809028,Bgy,Sulquiano (Sidiran),True
012809029,Bgy,San Francisco,True
012809029,Bgy,Surrate,True
012809029,Bgy,San Francisco (Surrate),True
012809030,Bgy,Suyo,True
012809031,Bgy,San Marcos,True
012809032,Bgy,Elizabeth,True
012810000,Mun,DUMALNEG,True
012810001,Bgy,Cabaritan,True
012810001,Bgy,Cabaritan (Dumalneg),True
012810002,Bgy,San Isidro,True
012810003,Bgy,Kalaw,True
012810003,Bgy,Kalaw (Dumalneg),True
012810004,Bgy,Quibel,True
012810004,Bgy,Quibel (Dumalneg),True
012811000,Mun,BANNA (ESPIRITU),True
012811000,Mun,ESPIRITU,False
012811000,Mun,BANNA,False
012811001,Bgy,Balioeg,True
012811002,Bgy,Bangsar,True
012811003,Bgy,Barbarangay,True
012811004,Bgy,Bomitog,True
012811005,Bgy,Bugasi,True
012811006,Bgy,Caestebanan,True
012811008,Bgy,Caribquib,True
012811009,Bgy,Catagtaguen,True
012811011,Bgy,Crispina,True
012811012,Bgy,Hilario,True
012811012,Bgy,Hilario (Pob.),False
012811013,Bgy,Imelda,True
012811014,Bgy,Lorenzo,True
012811014,Bgy,Lorenzo (Pob.),False
012811015,Bgy,Macayepyep,True
012811016,Bgy,Marcos,True
012811016,Bgy,Marcos (Pob.),False
012811017,Bgy,Nagpatayan,True
012811018,Bgy,Valdez,True
012811019,Bgy,Sinamar,True
