,location,code,PSGC,Municipality/City,Poverty
1204,PASAY,137605000,137605000.0,Pasay City,3.0
1205,PASIG,137403000,137403000.0,Pasig City,2.5
1206,PATEROS,137606000,137606000.0,Pateros,2.5
1207,QUEZON,137404000,137404000.0,Quezon City,3.3
1208,SAN JUAN,137405000,137405000.0,San Juan City,2.4
1209,TAGUIG,137607000,137607000.0,Taguig City,3.1
1210,VALENZUELA,137504000,137504000.0,Valenzuela  City,3.6
1211,BACOLOD,64501000,64501000.0,Bacolod City,9.2
1212,BAGO,64502000,64502000.0,Bago City,19.3
1213,BINALBAGAN,64503000,64503000.0,Binalbagan,21.7
1214,CADIZ,64504000,64504000.0,Cadiz City,22.5
1215,CALATRAVA,64505000,64505000.0,Calatrava,27.6
1216,CANDONI,64506000,64506000.0,Candoni,25.5
1217,CAUAYAN,64507000,64507000.0,Cauayan,27.5
1218,ENRIQUE B. MAGALONA,64508000,64508000.0,Enrique B. Magalona,19.9
1219,ENRIQUE B. MAGALONA,64508000,64508000.0,Enrique B. Magalona,19.9
1220,SARAVIA,64508000,64508000.0,Enrique B. Magalona,19.9
1221,SARAVIA,64508000,64508000.0,Enrique B. Magalona,19.9
1222,ESCALANTE,64509000,64509000.0,Escalante City,23.8
1223,HIMAMAYLAN,64510000,64510000.0,Himamaylan City,19.8
1224,HINIGARAN,64511000,64511000.0,Hinigaran,16.6
1225,HINOBA-AN,64512000,64512000.0,Hinoba-An (Asia),26.3
1226,HINOBA-AN,64512000,64512000.0,Hinoba-An (Asia),26.3
1227,ASIA,64512000,64512000.0,Hinoba-An (Asia),26.3
1228,ASIA,64512000,64512000.0,Hinoba-An (Asia),26.3
1229,ILOG,64513000,64513000.0,Ilog,19.2
1230,ISABELA,64514000,64514000.0,Isabela,26.8
1231,KABANKALAN,64515000,64515000.0,Kabankalan City,25.8
1232,LA CARLOTA,64516000,64516000.0,La Carlota City,12.3
1233,LA CASTELLANA,64517000,64517000.0,La Castellana,26.1
1234,MANAPLA,64518000,64518000.0,Manapla,21.9
1235,MOISES PADILLA,64519000,64519000.0,Moises Padilla (Magallon),31.2
1236,MOISES PADILLA,64519000,64519000.0,Moises Padilla (Magallon),31.2
1237,MAGALLON,64519000,64519000.0,Moises Padilla (Magallon),31.2
1238,MAGALLON,64519000,64519000.0,Moises Padilla (Magallon),31.2
1239,MURCIA,64520000,64520000.0,Murcia,21.6
1240,PONTEVEDRA,64521000,64521000.0,Pontevedra,16.6
1241,PULUPANDAN,64522000,64522000.0,Pulupandan,12.6
1242,SAGAY,64523000,64523000.0,Sagay City,22.5
1243,SALVADOR BENEDICTO,64532000,64532000.0,Salvador Benedicto,25.9
1244,SAN CARLOS,64524000,64524000.0,San Carlos City,24.1
1245,SAN ENRIQUE,64525000,64525000.0,San Enrique,15.7
1246,SILAY,64526000,64526000.0,Silay City,16.0
1247,SIPALAY,64527000,64527000.0,Sipalay City,24.1
1248,TALISAY,64528000,64528000.0,Talisay City,13.9
1249,TOBOSO,64529000,64529000.0,Toboso,26.6
1250,VALLADOLID,64530000,64530000.0,Valladolid,12.6
1251,VICTORIAS,64531000,64531000.0,Victorias City,17.4
1252,AMLAN,74601000,74601000.0,Amlan,27.2
1253,AMLAN,74601000,74601000.0,Amlan,27.2
1254,AYUQUITAN,74601000,74601000.0,Amlan,27.2
1255,AYUQUITAN,74601000,74601000.0,Amlan,27.2
1256,AYUNGON,74602000,74602000.0,Ayungon,52.4
1257,BACONG,74603000,74603000.0,Bacong,25.7
1258,BAIS,74604000,74604000.0,Bais City,39.7
1259,BASAY,74605000,74605000.0,Basay,53.3
1260,BAYAWAN,74606000,74606000.0,Bayawan City,49.8
1261,BAYAWAN,74606000,74606000.0,Bayawan City,49.8
1262,TULONG,74606000,74606000.0,Bayawan City,49.8
1263,TULONG,74606000,74606000.0,Bayawan City,49.8
1264,BINDOY,74607000,74607000.0,Bindoy,63.7
1265,BINDOY,74607000,74607000.0,Bindoy,63.7
1266,PAYABON,74607000,74607000.0,Bindoy,63.7
1267,PAYABON,74607000,74607000.0,Bindoy,63.7
1268,CANLAON,74608000,74608000.0,Canlaon City,35.0
1269,DAUIN,74609000,74609000.0,Dauin,34.7
1270,DUMAGUETE,74610000,74610000.0,Dumaguete City,11.8
1271,GUIHULNGAN,74611000,74611000.0,Guihulngan City,54.0
1272,JIMALALUD,74612000,74612000.0,Jimalalud,62.5
1273,LA LIBERTAD,74613000,74613000.0,La Libertad,57.5
1274,MABINAY,74614000,74614000.0,Mabinay,52.7
1275,MANJUYOD,74615000,74615000.0,Manjuyod,41.1
1276,PAMPLONA,74616000,74616000.0,Pamplona,40.3
1277,SAN JOSE,74617000,74617000.0,San Jose,32.5
1278,SANTA CATALINA,74618000,74618000.0,Santa Catalina,45.6
1279,SIATON,74619000,74619000.0,Siaton,52.9
1280,SIBULAN,74620000,74620000.0,Sibulan,21.6
1281,TANJAY,74621000,74621000.0,Tanjay City,31.4
1282,TAYASAN,74622000,74622000.0,Tayasan,52.8
1283,VALENCIA,74623000,74623000.0,Valencia,25.2
1284,VALENCIA,74623000,74623000.0,Valencia,25.2
1285,LUZURRIAGA,74623000,74623000.0,Valencia,25.2
1286,LUZURRIAGA,74623000,74623000.0,Valencia,25.2
1287,VALLEHERMOSO,74624000,74624000.0,Vallehermoso,51.4
1288,ZAMBOANGUITA,74625000,74625000.0,Zamboanguita,39.9
1289,ALLEN,84801000,84801000.0,Allen,33.4
1290,BIRI,84802000,84802000.0,Biri,49.0
1291,BOBON,84803000,84803000.0,Bobon,41.7
1292,CAPUL,84804000,84804000.0,Capul,51.2
1293,CATARMAN,84805000,84805000.0,Catarman,36.0
1294,CATUBIG,84806000,84806000.0,Catubig,49.3
1295,GAMAY,84807000,84807000.0,Gamay,44.3
1296,LAOANG,84808000,84808000.0,Laoang,46.0
1297,LAPINIG,84809000,84809000.0,Lapinig,48.5
1298,LAS NAVAS,84810000,84810000.0,Las Navas,62.3
1299,LAVEZARES,84811000,84811000.0,Lavezares,44.3
1300,LOPE DE VEGA,84824000,84824000.0,Lope De Vega,56.9
1301,MAPANAS,84812000,84812000.0,Mapanas,52.8
1302,MONDRAGON,84813000,84813000.0,Mondragon,51.8
1303,PALAPAG,84814000,84814000.0,Palapag,48.2
1304,PAMBUJAN,84815000,84815000.0,Pambujan,54.1
1305,ROSARIO,84816000,84816000.0,Rosario,45.2
1306,SAN ANTONIO,84817000,84817000.0,San Antonio,43.2
1307,SAN ISIDRO,84818000,84818000.0,San Isidro,38.0
1308,SAN JOSE,84819000,84819000.0,San Jose,40.0
