,ZONE 7 POB. (BALILING),HOMESTEAD,SOUTH POBLACION,SAMPALOC,PAG-ASA,PUTATAN,SAN ROQUE (POB.),POBLACION BARANGAY  5,SIBSIB
0,17.5986209,16.4010603,15.4501055,14.5463021,12.3469054,14.3983677,13.5858537,12.0373751,6.836404399999999
1,120.6207086,121.1051594,121.3365752,121.3645059,121.070773,121.0363768,124.2286121,125.4816402,124.8789697
